epoch,mode,lr,train_loss,train_acc,val_loss,val_acc
1,natural,0.09972609476841367,2.498037943158831,0.16339285714285715,1.9026952140808104,0.2636000000476837
2,natural,0.09890738003669028,1.7245223229272024,0.34095982142857145,1.6193501516342164,0.3959999997615814
3,natural,0.09755282581475767,1.4760539790562222,0.45417410714285716,1.3280729583740234,0.517399999332428
4,natural,0.09567727288213003,1.274832945551191,0.5330133928571429,1.2595145593643189,0.5484000000953674
5,natural,0.09330127018922194,1.0811610903058733,0.613125,1.1370794746398927,0.6043999994277954
6,natural,0.09045084971874737,0.9286585773740496,0.66890625,1.0183978622436523,0.638999999332428
7,natural,0.0871572412738697,0.8180965290750776,0.7063616071428571,0.8225936589241027,0.7095999994277954
8,natural,0.0834565303179429,0.7216405762944903,0.7463839285714285,0.7632995971679688,0.7400000003814697
9,natural,0.07938926261462365,0.6463068158285958,0.77515625,0.7313036880493164,0.7484000001907348
10,natural,0.07499999999999998,0.5689746425833021,0.80078125,0.6611708287239074,0.7734000005722046
11,natural,0.07033683215379001,0.5156461884294238,0.8202901785714286,0.5875981563568116,0.7965999995231628
12,natural,0.06545084971874737,0.4705503969533103,0.8388616071428572,0.5105573352336884,0.8218000004768372
13,natural,0.06039558454088796,0.42538578237806046,0.8541964285714285,0.5455339877605438,0.8204000002861023
14,natural,0.05522642316338268,0.3853693696430751,0.8667633928571429,0.839698646068573,0.7546000001907348
15,natural,0.05000000000000001,0.3506855551685606,0.8790848214285715,0.4621601158618927,0.8430000002861023
16,natural,0.04477357683661733,0.3300901566232954,0.8858705357142858,0.45986525597572325,0.8449999998092651
17,natural,0.03960441545911203,0.29655352558408465,0.8960267857142857,0.4116868079662323,0.8606000007629394
18,natural,0.03454915028125263,0.2668434017896652,0.9068973214285714,0.42156460881233215,0.8561999994277955
19,natural,0.02966316784621,0.23621467015572956,0.9183928571428571,0.3575012028217316,0.8826000003814697
20,natural,0.025000000000000012,0.21124428706509726,0.9269419642857143,0.32572498383522036,0.8928000004768372
21,natural,0.02061073738537635,0.17865685973848616,0.9367633928571428,0.3077943392276764,0.9022000004768371
22,natural,0.016543469682057107,0.15528805111135754,0.9464955357142857,0.3211037825584412,0.8980000007629394
23,natural,0.012842758726130301,0.1299556287271636,0.9549776785714286,0.33089613840579984,0.9005999999046326
24,natural,0.009549150281252635,0.10814228340983391,0.9633482142857143,0.28452468519210816,0.9140000000953674
25,natural,0.006698729810778067,0.08688359777842249,0.9721428571428572,0.28441841876506807,0.9154000004768371
26,natural,0.004322727117869953,0.07006917274424009,0.9781026785714285,0.2651871176838875,0.922200000667572
27,natural,0.002447174185242324,0.05843512905495507,0.98234375,0.27303594388961794,0.9194000002861022
28,natural,0.0010926199633097158,0.051440625456827024,0.985,0.26878358812332154,0.9228000004768372
29,natural,0.00027390523158633,0.04583262516983918,0.9875,0.265948894238472,0.9250000004768372
30,natural,0.0,0.04228303192981652,0.9880803571428571,0.2642682021856308,0.9242000004768371
